City,Country,Code,International code
Louisiana,United States,ARA,KARA
Louisville,United States,LOU,KLOU
Louisville,United States,SDF,KSDF
Lourdes-De-Blanc-Sablon,Canada,YBX,CYBX
Lovelock,United States,LOL,KLOL
Luanda,Angola,LAD,FNLU
Luang Namtha,Laos,LXG,VLLN
Luang Prabang,Laos,LPQ,VLLB
Lubang,Philippines,LBX,RPLU
Lubango,Angola,SDD,FNUB
Lubbock,United States,LBB,KLBB
Lublin,Poland,LUZ,EPLB
Lubumashi,Congo (Kinshasa),FBM,FZQA
Lucapa,Angola,LBZ,FNLK
Lucas do Rio Verde,Brazil,\N,SWFE
Lucerne,Switzerland,\N,LSZO
Lucknow,India,LKO,VILK
Luderitz,Namibia,LUD,FYLZ
Ludhiaha,India,LUH,VILD
Ludington,United States,LDM,KLDM
Luebeck,Germany,LBC,EDHL
Luechow,Germany,\N,EDHC
Luena,Angola,LUO,FNUE
Luesse,Germany,\N,EDOJ
Lufkin,United States,LFK,KLFK
Lugano,Switzerland,LUG,LSZA
Lugansk,Ukraine,VSG,UKCW
Lukhovitsy,Russia,\N,UUMT
Lukla,Nepal,LUA,VNLK
Lulea,Sweden,LLA,ESPA
Lumberton,United States,LBT,KLBT
Lumbo,Mozambique,LFB,FQLU
Luneville,France,\N,LFQC
Luoyang,China,LYA,ZHLY
Lusaka,Zambia,LUN,FLLS
Lusaka,Zambia,\N,FLLC
Lutselk'e,Canada,\N,CYSG
Lutselk'e,Canada,YSG,CYLK
Lutsk,Ukraine,UCK,UKLC
Luwuk,Indonesia,LUW,WAMW
Luxemburg,Luxembourg,LUX,ELLX
Luxeuil,France,\N,LFSX
Luxi,China,LUM,ZPLX
Luxor,Egypt,LXR,HELX
Luzhou,China,LZO,ZULZ
Lvliang,China,LLV,ZBLL
Lvov,Ukraine,LWO,UKLL
Lycksele,Sweden,LYC,ESNL
Lydd,United Kingdom,LYX,EGMD
Lympne,United Kingdom,LYM,EGMK
Lynchburg,United States,LYH,KLYH
Lyneham,United Kingdom,LYE,EGDL
Lynn Lake,Canada,YYL,CYYL
Lyon,France,LYS,LFLL
Lyon,France,LYN,LFLY
M?rcule?ti,Moldova,\N,LUBM
Maamigili,Maldives,VAM,VRMV
Maasin,Philippines,\N,RPSM
Maastricht,Netherlands,MST,EHBK
Mabaruma,Guyana,USI,SYMB
Mabuiag Island,Australia,UBB,YMAA
Macae,Brazil,\N,SBGP
Macaé,Brazil,MEA,SBME
Macapa,Brazil,MCP,SBMQ
Macara,Ecuador,MRR,SEMA
Macas,Ecuador,XMS,SEMC
Macau,Macau,MFM,VMMC
Maceio,Brazil,MCZ,SBMO
MACHADINHO D'OESTE,Brazil,\N,SIMC
Machala,Ecuador,MCH,SEMH
Mackay,Australia,MKY,YBMK
Mackenzie British Columbia,Canada,\N,CYZY
Mackminnville,United States,\N,KMMV
Macon,France,\N,LFLM
Macon,United States,MNM,KMNM
Macon,United States,MCN,KMCN
Macon,United States,WRB,KWRB
Madang,Papua New Guinea,MAG,AYMD
Madera,United States,MAE,KMAE
Madinah,Saudi Arabia,MED,OEMA
Madison,United States,MSN,KMSN
Madison,United States,\N,K52A
Madiun,Indonesia,\N,WARI
Madras,India,MAA,VOMM
Madrid,Spain,\N,LEGT
Madrid,Spain,MAD,LEMD
Madrid,Spain,TOJ,LETO
Madrid,Spain,ECV,LECU
Madurai,India,IXM,VOMD
Mae Hong Son,Thailand,HGN,VTCH
Maewo Island,Vanuatu,MWF,NVSN
Mafeking,South Africa,MBD,FAMM
Mafia Island,Tanzania,MFA,HTMA
Mafraq,Jordan,OMF,OJMF
Magadan,Russia,GDX,UHMM
Magadan,Russia,\N,UHMT
Magangue,Colombia,MGN,SKMG
Magas,Russia,IGT,URMS
Magdeburg,Germany,ZMG,EDBM
Magnetiogorsk,Russia,MQF,USCM
Magwe,Burma,MWQ,VYMW
Mahajanga,Madagascar,MJN,FMNM
Mahdia,Guyana,MHA,SYMD
Mahe,Seychelles,SEZ,FSIA
Maia,Portugal,\N,LPVL
Maiana,Kiribati,MNK,NGMA
Maidenhead,United Kingdom,\N,EGLM
Maiduguri,Nigeria,MIU,DNMA
Maimama,Afghanistan,MMZ,OAMN
Maintirano,Madagascar,MXT,FMMO
Mainz,Germany,\N,EDFZ
Maio,Cape Verde,MMO,GVMA
Maitland,Australia,MTL,YMND
Majuba Power Station,South Africa,\N,FAMJ
Majuro,Marshall Islands,MAJ,PKMJ
Makale,Ethiopia,MQX,HAMK
Makale,Indonesia,TTR,WAWT
Makemo,French Polynesia,MKP,NTGM
Makhachkala,Russia,MCX,URML
Makin,Kiribati,MTK,NGMN
Makkovik,Canada,YMN,CYFT
Makokou,Gabon,MKU,FOOK
Makung,Taiwan,MZG,RCQC
Makurdi,Nigeria,MDI,DNMK
Malabo,Equatorial Guinea,SSG,FGSL
Malacca,Malaysia,MKZ,WMKM
Malacky,Slovakia,\N,LZMC
Malad City,United States,\N,KMLD
Malaga,Spain,AGP,LEMG
Malakal,Sudan,MAK,HSSM
Malalane,South Africa,LLE,FAMN
Malamala,South Africa,AAM,FAMD
Malang,Indonesia,MLG,WARA
Malanje,Angola,MEG,FNMA
Malargue,Argentina,LGS,SAMM
Malatya,Turkey,\N,LTAO
Malatya,Turkey,MLX,LTAT
Malbork,Poland,\N,EPMB
Malbouhans,France,\N,LFYL
Maldonado,Uruguay,\N,SUPE
Male,Maldives,MLE,VRMM
Malekula Island,Vanuatu,SWJ,NVSX
Mali Losinj,Croatia,LSZ,LDLO
Malindi,Kenya,MYD,HKML
Mallacoota,Australia,XMC,YMCO
Malmoe,Sweden,MMX,ESMS
Malolo Lailai Island,Fiji,PTF,NFFO
Malta,Malta,MLA,LMML
Mama,Russia,\N,UIKM
Mamburao,Philippines,MBO,RPUM
Mammoth Lakes,United States,MMH,KMMH
Mampikony,Madagascar,WMP,FMNP
Man,Cote d'Ivoire,MJC,DIMN
Mana Island,Fiji,MNF,NFMA
Mana Pools,Zimbabwe,\N,FVMN
Manado,Indonesia,MDC,WAMM
Managua,Nicaragua,MGA,MNMG
Manakara,Madagascar,WVK,FMSK
Mananara,Madagascar,WMR,FMNC
Manang,Nepal,NGX,VNMA
Mananjary,Madagascar,MNJ,FMSM
Manapouri,New Zealand,TEU,NZMO
Manassas,United States,MNZ,KHEF
Manaus,Brazil,MAO,SBEG
Manaus,Brazil,PLL,SBMN
MANAUS,Brazil,\N,SWFN
Manchester,United Kingdom,MAN,EGCC
Manchester,United Kingdom,\N,EGCB
Manchester NH,United States,MHT,KMHT
Mandalay,Burma,MDL,VYMD
Mandritsara,Madagascar,WMA,FMNX
Mangaia Island,Cook Islands,MGS,NCMG
Mangalore,India,IXE,VOML
Mangalore,Australia,\N,YMNG
Mangla,Pakistan,XJM,OPMA
Mango,Togo,\N,DXMG
Mangochi,Malawi,MAI,FWMG
Manhattan,United States,MHK,KMHK
Manicore,Brazil,MNX,SBMY
Manihi,French Polynesia,XMH,NTGI
Manihiki Island,Cook Islands,MHX,NCMH
Maniitsoq,Greenland,JSU,BGMQ
Manila,Philippines,MNL,RPLL
Maningrida,Australia,MNG,YMGD
Manistee,United States,MBL,KMBL
Manitouwadge,Canada,YMG,CYMG
Manitowaning,Canada,YEM,CYEM
Maniwaki,Canada,YMW,CYMW
Manizales,Colombia,MZL,SKMZ
Manja,Madagascar,MJA,FMSJ
Mankato,United States,\N,KMKT
Manley Hot Springs,United States,MLY,PAML
Mannheim,Germany,MHG,EDFM
Manokotak,United States,KMO,PAMB
Manokwari,Indonesia,MKW,WASR
Mansa,Zambia,MNS,FLMA
Mansfield,United States,MFD,KMFD
Manston,United Kingdom,MSE,EGMH
Manta,Ecuador,MEC,SEMT
Manteo,United States,MEO,KMQI
Mantsonyane,Lesotho,\N,FXMN
Manzanillo,Mexico,ZLO,MMZO
Manzanillo,Cuba,MZO,MUMZ
Manzhouli,China,NZH,ZBMZ
Manzini,Swaziland,MTS,FDMS
Manzini,Swaziland,SHO,FDSK
Maputo,Mozambique,MPM,FQMA
Mar Del Plata,Argentina,MDQ,SAZM
Maraba,Brazil,MAB,SBMA
Maracaibo,Venezuela,\N,SVBL
Maracaibo,Venezuela,MAR,SVMC
Maracay,Venezuela,MYC,SVBS
Maradi,Niger,MFQ,DRRM
Maragheh,Iran,ACP,OITM
Maragrosa,Ecuador,\N,SEMX
Marakei,Kiribati,MZK,NGMK
Marambio Base,Antarctica,\N,SAWB
Marana,United States,MZJ,KMZJ
Marandúa,Colombia,\N,SKUA
Marathon,United States,MTH,KMTH
Marathon,Canada,YSP,CYSP
Marau,Solomon Islands,RUS,AGGU
Marble Hall,South Africa,\N,FAMI
Marco Island Airport,United States,MRK,KMKY
Marcos Juarez,Argentina,\N,SAOM
Marcq En Baroeul,France,\N,LFQO
Mardin,Turkey,MQM,LTCR
Mare,New Caledonia,MEE,NWWR
Marfa,United States,MRF,KMRF
Margate,South Africa,MGH,FAMG
Marham,United Kingdom,KNF,EGYM
Maribo,Denmark,MRW,EKMB
Maribor,Slovenia,MBX,LJMB
Marica,Brazil,\N,SDMC
Mariehamn,Finland,MHQ,EFMA
Mariental,Namibia,\N,FYML
Marietta,United States,MGE,KMGE
Marigot,France,\N,MRGT
Marília,Brazil,MII,SBML
Marina Di Campo,Italy,EBA,LIRJ
Maringa,Brazil,MGF,SBMG
Marion,United States,MWA,KMWA
Maripasoula,French Guiana,MPY,SOOA
Mariposa,United States,RMY,KMPI
Mariquita,Colombia,MQU,SKQU
Mariscal Estigarribia,Paraguay,ESG,SGME
Mariupol International,Ukraine,MPW,UKCM
Markham,Canada,\N,CNU8
Markovo,Russia,KVM,UHMO
Marmande,France,\N,LFDM
Maroantsetra,Madagascar,WMN,FMNR
Maroochydore,Australia,MCY,YBMC
Maroua,Cameroon,MVR,FKKL
Marquette,United States,\N,KMQT
Marrakech,Morocco,RAK,GMMX
Marrupa,Mozambique,\N,FQMR
Marsa Alam,Egypt,RMF,HEMA
Marsa Brega,Libya,LMQ,HLMB
Marseille,France,MRS,LFML
Marsh Harbor,Bahamas,MHH,MYAM
Marshall,United States,MLL,PADM
Marshall,United States,\N,KRMY
Marshfield,United States,\N,KGHG
Marshfield,United States,MFI,KMFI
Martinsburg,United States,MRB,KMRB
Martinsville,United States,\N,KMTV
Marudi,Malaysia,MUR,WBGM
Mary,Turkmenistan,MYP,UTAM
Mary Esther,United States,\N,KHRT
Maryborough,Australia,MBH,YMYB
Mary's Harbour,Canada,YMH,CYMH
Marysville,United States,BAB,KBAB
Marysville,United States,\N,KMRT
Masai Mara,Kenya,MRE,HKMS
Masamba,Indonesia,MXB,WAWM
Masbate,Philippines,MBT,RPVJ
Maseru,Lesotho,MSU,FXMM
Maseru,Lesotho,\N,FXMU
Mashhad,Iran,MHD,OIMM
Masirah,Oman,MSH,OOMA
Masjed Soleiman,Iran,\N,OIAI
Mason City,United States,MCW,KMCW
Massawa,Eritrea,MSW,HHMS
Massena,United States,MSS,KMSS
Masset,Canada,ZMT,CZMT
Masterton,New Zealand,MRO,NZMS
Masvingo,Zimbabwe,MVZ,FVMV
Matadi,Congo (Kinshasa),MAT,FZAM
Matagami,Canada,YNM,CYNM
Mataiva,French Polynesia,MVT,NTGV
Matam,Senegal,MAX,GOSM
Matamoros,Mexico,MAM,MMMA
Matane,Canada,YME,CYME
Mataram,Indonesia,AMI,WADA
Matei,Fiji,TVU,NFNM
Matheson Island,Canada,\N,CJT2
Matsu Islands,Taiwan,LZN,RCFG
Matsu Islands,Taiwan,MFK,RCMT
Matsumoto,Japan,MMJ,RJAF
Matsushima,Japan,\N,RJST
Matsuyama,Japan,MYJ,RJOM
Mattala,Sri Lanka,HRI,VCRI
Mattawa,United States,\N,KM94
Matthew Town,Bahamas,IGA,MYIG
Maturaca,Brazil,\N,SWMK
Maturin,Venezuela,MUN,SVMT
Maubeuge,France,XME,LFQJ
Maues,Brazil,MBZ,SWMW
Mauke Island,Cook Islands,MUK,NCMK
Maumere,Indonesia,MOF,WATC
Maun,Botswana,MUB,FBMN
Maupiti,French Polynesia,MAU,NTTP
Mauterndorf,Austria,\N,LOSM
Mawlamyine,Burma,MNU,VYMM
Mayaguana,Bahamas,MYG,MYMM
Mayaguez,Puerto Rico,MAZ,TJMZ
Maykop,Russia,\N,URKH
Mayo,Canada,YMA,CYMA
Mayport,United States,NRB,KNRB
Mayumba,Gabon,MYB,FOOY
Mazar-i-sharif,Afghanistan,MZR,OAMS
Mazatlan,Mexico,MZT,MMMZ
Mazuffarpur,India,MZU,VEMZ
Mbambanakira,Solomon Islands,MBU,AGGI
Mbandaka,Congo (Kinshasa),MDK,FZEA
M'banza-congo,Angola,SSY,FNBC
Mbeya,Tanzania,\N,HTMB
Mbeya,Tanzania,MBI,HTGW
Mbuji-mayi,Congo (Kinshasa),MJM,FZWA
Mc Comb,United States,MCB,KMCB
Mc Pherson,United States,\N,KMPR
Mcalester,United States,MLC,KMLC
Mcallen,United States,MFE,KMFE
McArthur River Mine,Australia,MCV,YMHU
McCall,United States,MYL,KMYL
McCook,United States,MCK,KMCK
Mcgrath,United States,MCG,PAMC
McKinley Park,United States,MCL,PAIN
McKinley Park,United States,\N,AK06
McMurdo Station,Antarctica,\N,NZPG
Meade,United States,\N,KMEJ
Meadow Lake,Canada,YLJ,CYLJ
Meaux,France,\N,LFPE
Mecheria,Algeria,MZW,DAAY
Medan,Indonesia,MES,WIMK
Medan,Indonesia,KNO,WIMM
Medellin,Colombia,EOH,SKMD
Medford,United States,MFR,KMFR
Medicine Hat,Canada,YXH,CYXH
Meekatharra,Australia,MKR,YMEK
Megara,Greece,\N,LGMG
Meghauli,Nepal,MEY,VNMG
Megido Airstrip,Israel,\N,LLMG
Mehamn,Norway,MEH,ENMH
Meiktila,Burma,\N,VYML
Meinerzhagen,Germany,\N,EDKZ
Meiringen,Switzerland,\N,LSMM
Meixian,China,MXZ,ZGMX
Mekane Selam,Ethiopia,MKS,HAMA
Meknes,Morocco,MEK,GMFM
Mekoryuk,United States,MYU,PAMY
Melbourne,Australia,MEB,YMEN
Melbourne,Australia,MBW,YMMB
Melbourne,Australia,MEL,YMML
Melbourne,United States,MLB,KMLB
Melilla,Spain,MLN,GEML
Melitopol,Ukraine,\N,UKDM
Melo,Uruguay,MLZ,SUMO
Melonguane,Indonesia,MNA,WAMN
Melun,France,\N,LFPM
Memanbetsu,Japan,MMB,RJCM
Memmingen,Germany,FMM,EDJA
Memphis,United States,MEM,KMEM
Memphis,United States,\N,KM01
Mende,France,MEN,LFNB
Mendi,Papua New Guinea,MDU,AYMN
Mendig,Germany,\N,ETHM
Mendoza,Argentina,MDZ,SAME
Mengen,Germany,\N,EDTM
Mengnai,China,HTT,ZLHX
Menindee,Australia,\N,YMED
Menkijarvi,Finland,\N,EFME
Menongue,Angola,SPP,FNME
Menorca,Spain,MAH,LEMH
Merauke,Indonesia,MKQ,WAKK
Merced,United States,MER,KMER
Merced,United States,MCE,KMCE
Mercury,United States,DRA,KDRA
Merida,Mexico,MID,MMMD
Merida,Venezuela,MRD,SVMD
Meriden,United States,\N,KMMK
Meridian,United States,\N,KNMM
Meridian,United States,MEI,KMEI
Merimbula,Australia,MIM,YMER
Merowe,Sudan,MWE,HSMN
Mersa-matruh,Egypt,MUH,HEMM
Meru National Park,Kenya,JJM,HKMK
Merville,France,HZB,LFQT
Merzifon,Turkey,MZH,LTAP
Mesa,United States,AZA,KIWA
Mesa,United States,MSC,KFFZ
Meschede,Germany,\N,EDKM
Mestia,Georgia,\N,UGMS
Metakatla,United States,MTM,PAMM
Metz,France,ETZ,LFJL
Metz,France,MZM,LFSF
Metzada,Israel,MTZ,LLMZ
Mexicali,Mexico,MXL,MMML
Mexico City,Mexico,MEX,MMMX
Mezen,Russia,\N,ULAE
Mfuwe,Zambia,MFU,FLMF
Miami,United States,MIA,KMIA
Miami,United States,TNT,KTNT
Miami,United States,OPF,KOPF
Miandrivazo,Madagascar,ZVA,FMMN
Mianwali,Pakistan,MWD,OPMI
Mianyang,China,MIG,ZUMY
Michigan City,United States,MGC,KMGC
Middelburg,South Africa,\N,FAMB
Middelburg,Netherlands,\N,EHMZ
Middle Caicos,Turks and Caicos Islands,MDS,MBMC
Midland,United States,MAF,KMAF
Midland,Canada,\N,CYEE
Midway,Midway Islands,MDY,PMDY
Mielec,Poland,\N,EPML
Miho,Japan,YGJ,RJOH
Mikkeli,Finland,MIK,EFMI
Milan,Italy,LIN,LIML
Milano,Italy,\N,LIMB
Milano,Italy,MXP,LIMC
Mildenhall,United Kingdom,MHZ,EGUN
Mildura,Australia,MQL,YMIA
Miles City,United States,MLS,KMLS
Milford Sound,New Zealand,MFN,NZMF
Mili Island,Marshall Islands,MIJ,MLIP
Milingimbi,Australia,MGT,YMGB
Millau,France,\N,LFCM
Milledgeville,United States,\N,KMLJ
Millington,United States,NQA,KNQA
Millinocket,United States,\N,KMLT
Millville,United States,MIV,KMIV
Milos,Greece,MLO,LGML
Milton,United States,NSE,KNSE
Milwaukee,United States,MKE,KMKE
Milwaukee,United States,MWC,KMWC
Mimili,Australia,\N,YEVP
Mimizan,France,\N,LFCZ
Minacu,Brazil,MQH,SBMC
Minami Daito,Japan,MMD,ROMD
Minami Tori Shima,Japan,MUS,RJAM
Minatitlan,Mexico,MTT,MMMT
Mindelheim,Germany,\N,EDMN
Mine Site,Australia,\N,YBEE
MINERAL POINT,United States,\N,KMRJ
Mineral Wells,United States,MWL,KMWL
Mineralnye Vody,Russia,MRV,URMM
Minhad AB,United Arab Emirates,NHD,OMDM
Minna,Nigeria,MXJ,DNMN
Minneapolis,United States,MSP,KMSP
Minocqua - Woodruff,United States,ARV,KARV
Minot,United States,MOT,KMOT
Minot,United States,MIB,KMIB
Minsk,Belarus,MHP,UMMM
Minsk,Belarus,\N,UMMB
Minsk,Belarus,\N,UMMI
Minsk 2,Belarus,MSQ,UMMS
Miquelon,Saint Pierre and Miquelon,MQC,LFVM
Miramar,United States,NKX,KNKX
Miri,Malaysia,MYY,WBGR
Mirnyj,Russia,MJZ,UERR
Miroslawiec,Poland,\N,EPMI
Mirpur Khas,Pakistan,\N,OPMK
Misawa,Japan,MSJ,RJSM
Misima Island,Papua New Guinea,MIS,AYMS
Misquite,United States,\N,KHQZ
Missoula,United States,MSO,KMSO
Mitchell,United States,MHE,KMHE
Mitiaro Island,Cook Islands,MOI,NCMR
Mitu,Colombia,MVP,SKMU
Miyakejima,Japan,MYE,RJTQ
Miyako,Japan,MMY,ROMY
Miyazaki,Japan,KMI,RJFM
Mizan Teferi,Ethiopia,MTF,HAMT
Mkuze,South Africa,MZQ,FAMU
Mnichovo Hradiste,Czech Republic,\N,LKMH
Mo i Rana,Norway,MQN,ENRA
Moa,Cuba,MOA,MUMO
Moab,United States,CNY,KCNY
Moala,Fiji,MFJ,NFMO
Mobile,United States,BFM,KBFM
Mobile,United States,MOB,KMOB
Mobile,United States,\N,1AZ0
Mobridge,United States,MBG,KMBG
Mocamedes,Angola,MSZ,FNMO
Mocimboa Da Praia,Mozambique,MZB,FQMP
Mocksville,United States,\N,5NC2
Mocord,Brazil,MVF,SBMS
Modesto,United States,MOD,KMOD
Moenchengladbach,Germany,MGL,EDLN
Moengo,Suriname,MOJ,SMMO
Moenjodaro,Pakistan,MJD,OPMJ
Mogadishu,Somalia,MGQ,HCMM
Mogilev,Belarus,MVQ,UMOO
Mohanbari,India,DIB,VEMN
Mohe County,China,OHE,ZYMH
Mohed,Sweden,SQO,ESUD
Moheli,Comoros,NWA,FMCI
Mojave,United States,MHV,KMHV
Mokpo,South Korea,MPK,RKJM
Mokuti Lodge,Namibia,OKU,FYMO
Molde,Norway,MOL,ENML
Moline,United States,MLI,KMLI
Mollis,Switzerland,\N,LSMF
Molokai,United States,MKK,PHMK
Molokai,United States,LUP,PHLU
Mombasa,Kenya,MBA,HKMO
Momeik,Burma,MOE,VYMO
Momote,Papua New Guinea,MAS,AYMO
Mona,United Kingdom,\N,EGOQ
Monastir,Tunisia,MIR,DTMB
Monbetsu,Japan,MBE,RJEB
Monclova,Mexico,LOV,MMMV
Moncton,Canada,YQM,CYQM
Mong Hsat,Burma,MOG,VYMS
Mongu,Zambia,MNR,FLMG
Monkey Bay,Malawi,MYZ,FWMY
Monroe,United States,MLU,KMLU
Monroe,United States,\N,KEFT
Monrovia,Liberia,MLW,GLMR
Monrovia,Liberia,ROB,GLRB
Mont Joli,Canada,YYY,CYYY
Montalvo,Ecuador,\N,SEMO
Montauban,France,XMW,LFDB
Montauk,United States,MTP,KMTP
Montbeliard,France,\N,LFSM
Mont-de-marsan,France,\N,LFBM
Monte Caseros,Argentina,MCS,SARM
Monte Real,Portugal,QLR,LPMR
Montecristi,Dominican Republic,\N,MDMC
Montego Bay,Jamaica,MBJ,MKJS
Monterey,United States,MRY,KMRY
Monteria,Colombia,MTR,SKMR
Monterrey,Mexico,NTR,MMAN
Monterrey,Mexico,MTY,MMMY
Montes Claros,Brazil,MOC,SBMK
Montevideo,Uruguay,\N,SUAA
Montevideo,Uruguay,MVD,SUMU
Montgomery,United States,MXF,KMXF
MONTGOMERY,United States,MGM,KMGM
Montgomery,United States,MGJ,KMGJ
Monticello,United States,\N,KLLQ
Montijo,Portugal,\N,LPMT
Montlucon,France,\N,LFLT
Montlucon-gueret,France,MCU,LFBK
Montpelier,United States,MPV,KMPV
Montpellier,France,MPL,LFMT
Montreal,Canada,YHU,CYHU
Montreal,Canada,YMX,CYMX
Montreal,Canada,YUL,CYUL
Montrose CO,United States,MTJ,KMTJ
Mont-Tremblant,Canada,YTM,CYFJ
Monument Valley,United States,GMV,UT25
Monywa,Burma,NYW,VYMY
Moomba,Australia,MOO,YOOM
Moorea,French Polynesia,MOZ,NTTM
Moose Jaw,Canada,YMJ,CYMJ
Moosonee,Canada,YMO,CYMO
Mopti,Mali,MZI,GAMB
Moquegua,Peru,\N,SPEQ
Mora,Sweden,MXX,ESKM
Morafenobe,Madagascar,TVA,FMMR
Moranbah,Australia,MOV,YMRB
Moree,Australia,MRZ,YMOR
Morelia,Mexico,MLM,MMMM
Morganton,United States,MRN,KMRN
Morgantown,United States,MGW,KMGW
Morlaix,France,MXN,LFRU
Mornington Island,Australia,ONG,YMTI
Moro,Papua New Guinea,MXH,AYMR
Morogoro,Tanzania,\N,HTMG
Morombe,Madagascar,MXM,FMSR
Moron,Argentina,\N,SADM
Morondava,Madagascar,MOQ,FMMV
Moroni,Comoros,HAH,FMCH
Moroni,Comoros,YVA,FMCN
Morotai Island,Indonesia,OTI,WAMR
Morristown,United States,MMU,KMMU
Morristown,United States,\N,MRST
Morrisville,United States,MVL,KMVL
Morro de Sao Paulo,Brazil,\N,SNCL
Moruya,Australia,MYA,YMRY
Morwell,Australia,TGN,YLTV
Moscow,Russia,SVO,UUEE
Moscow,Russia,VKO,UUWW
Moscow,Russia,DME,UUDD
Moscow,Russia,BKA,UUBB
Moscow,Russia,OSF,UUMO
Moscow,Russia,\N,UUBM
Moshi,Tanzania,QSI,HTMS
Mosjoen,Norway,MJF,ENMS
Mostar,Bosnia and Herzegovina,OMO,LQMO
Mosul,Iraq,OSM,ORBM
Motueka,New Zealand,MZP,NZMK
Mouila,Gabon,MJL,FOGM
Moulins,France,\N,LFHY
Moundou,Chad,MQQ,FTTD
Mount Airy,United States,\N,KMWK
Mount Clemens,United States,MTC,KMTC
Mount Cook,New Zealand,MON,NZMC
Mount Gambier,Australia,MGB,YMTG
Mount Garnet,Australia,\N,YMRT
Mount Hagen,Papua New Guinea,HGU,AYMH
Mount Holly,United States,LLY,KVAY
Mount Hotham,Australia,MHU,YHOT
Mount Isa,Australia,ISA,YBMA
Mount Keith,Australia,WME,YMNE
Mount Magnet,Australia,MMG,YMOG
Mount Pleasant,Falkland Islands,MPN,EGYP
Mount Pleasant,United States,\N,KLRO
Mount Pocono,United States,MPO,KMPO
Mount Sterling,United States,\N,KIOB
Mountain Home,United States,MUO,KMUO
Mountain Home,United States,WMH,KBPK
Mountain View,United States,NUQ,KNUQ
Mountain Village,United States,MOU,PAMO
Moyale,Kenya,OYL,HKMY
Moyogalpa,Nicaragua,\N,MNLP
Mpacha,Namibia,MPA,FYKM
Mpanda,Tanzania,\N,HTMP
Mpumalanga,South Africa,MQP,FAKN
Msembe,Tanzania,\N,HTMR
Mt Liebig,Australia,\N,YLBG
Mtwara,Tanzania,MYW,HTMT
Muan,South Korea,MWX,RKJB
Muanda,Congo (Kinshasa),MNB,FZAG
Muang Xay,Laos,ODY,VLOS
Muara Bungo,Indonesia,BUU,WIPI
Muara Teweh,Indonesia,\N,WAOM
Mucuri,Brazil,MVS,SNMU
Mudanjiang,China,MDG,ZYMD
Mudgee,Australia,DGE,YMDG
Mueda,Mozambique,MUD,FQMD
Muehlhausen,Germany,\N,EDAM
Muenster,Germany,\N,EDLT
Muir,United States,MUI,KMUI
Mukah,Malaysia,MKM,WBGK
Mukalla,Yemen,RIY,OYRN
Mulhouse,France,BSL,LFSB
Mulia,Indonesia,LII,WAJM
Multan,Pakistan,MUX,OPMT
Mulu,Malaysia,MZV,WBMU
Mumbai,India,BOM,VABB
Muncie,United States,MIE,KMIE
Munda,Solomon Islands,MUA,AGGM
Munich,Germany,MUC,EDDM
Munster,Germany,FMO,EDDG
Murcia,Spain,MJV,LELC
Murcia,Spain,\N,LERI
Murcia,Spain,RMU,LEMI
Muren,Mongolia,MXV,ZMMN
Muriae,Brazil,\N,SNBM
Murmansk,Russia,MMK,ULMM
Murmansk,Russia,\N,UODN
Murray Bridge,Australia,\N,YMBD
Murray Island,Australia,MYI,YMUI
Murrieta-Temecula,United States,RBK,KF70
Mus,Turkey,MSR,LTCK
Muscat,Oman,MCT,OOMS
Muscle Shoals,United States,MSL,KMSL
Musina,South Africa,\N,FAMS
Muskegon,United States,MKG,KMKG
Muskogee,United States,\N,KMKO
Muskoka,Canada,YQA,CYQA
Muskrat Dam,Canada,MSA,CZMD
Musoma,Tanzania,MUZ,HTMU
Musselwhite Mine,Canada,YBS,CKM8
Mustique,Saint Vincent and the Grenadines,MQS,TVSM
Mutare,Zimbabwe,UTA,FVMU
Mutoko,Zimbabwe,\N,FVMT
Muzaffarabad,Pakistan,MFG,OPMF
Mwanza,Tanzania,MWZ,HTMW
Mwene-Ditu,Congo (Kinshasa),\N,FZWE
Myeik,Burma,MGZ,VYME
Myitkyina,Burma,MYT,VYMK
Mykines,Faroe Islands,\N,EKMS
Mykonos,Greece,JMK,LGMK
Myrtle Beach,United States,MYR,KMYR
Mys Shmidta,Russia,\N,UHMI
Mysore,India,MYQ,VOMY
Mytilini,Greece,MJT,LGMT
Myvatn,Iceland,MVA,BIRL
Mzuzu,Malawi,ZZU,FWUU
Nabire,Indonesia,NBX,WABI
Nacala,Mozambique,MNC,FQNC
Nadunumu,Papua New Guinea,NDN,AYNC
Nadym,Russia,NYM,USMM
Nadzab,Papua New Guinea,LAE,AYNZ
Naga,Philippines,WNP,RPUN
Nagan Raya,Indonesia,MEQ,WITC
Nagarjunsagar,India,\N,VONS
Nagasaki,Japan,NGS,RJFU
Nagaur,India,\N,VI73
Nagoya,Japan,NGO,RJGG
Nagoya,Japan,NKM,RJNA
Nagpur,India,NAG,VANP
Naha,Indonesia,NAH,WAMH
Nain,Canada,YDP,CYDP
Nainital,India,PGH,VIPT
Nairobi,Kenya,WIL,HKNW
Nairobi,Kenya,\N,HKRE
Nairobi,Kenya,NBO,HKJK
Naivasha,Kenya,\N,HKNV
Najaf,Iraq,NJF,ORNI
Nakashibetsu,Japan,SHB,RJCN
Nakhchivan,Azerbaijan,NAJ,UBBN
Nakhon Pathom,Thailand,KDT,VTBK
Nakhon Phanom,Thailand,KOP,VTUW
Nakhon Ratchasima,Thailand,\N,VTUN
